,architecture,num_epochs,num_processes,threads,is_distributed,training_time,accuracy,avg_loss,batch_size
238,conv,2,4,15,y,13.963320970535278,13.431666666666667,2.285559758090973,256
239,conv,2,4,12,y,44.39710879325867,85.42666666666666,0.5289449987262488,32
240,conv,2,3,13,y,44.405341148376465,83.96333333333334,0.6033186402797699,32
241,conv,2,4,16,y,201.2061185836792,91.07166666666667,0.3052388781525195,12
242,conv,2,3,8,y,14.549052715301514,35.833333333333336,2.2731275250752767,128
243,conv,2,2,4,y,14.015728235244751,49.96666666666667,2.2332716828982035,128
244,conv,2,3,5,y,11.444475173950195,58.78666666666667,2.1549518158912657,64
245,conv,2,3,12,y,92.80196332931519,91.255,0.29806118429452183,12
246,conv,2,2,15,y,13.73338794708252,17.951666666666668,2.2916526425997414,256
247,conv,2,3,11,y,22.826842784881592,68.105,1.7550261001904806,64
248,conv,2,3,15,y,149.3829915523529,90.31333333333333,0.3260248502234618,12
249,conv,2,4,11,y,32.50146269798279,78.05333333333333,0.9473260423024495,32
250,conv,2,4,15,y,14.235476016998291,26.586666666666666,2.2832536030133563,256
251,conv,2,2,11,y,12.985199213027954,21.001666666666665,2.290885694249471,256
252,conv,2,4,13,y,23.34519100189209,52.1,2.1885313842137655,64
253,conv,2,2,9,y,13.151745319366455,19.466666666666665,2.253610227616628,256
254,conv,2,3,8,y,55.82249712944031,86.62666666666667,0.48498437423706053,32
255,conv,2,4,5,y,8.437262058258057,24.541666666666668,2.257460409228007,256
256,conv,2,4,16,y,24.944019317626953,21.98,2.252921593284607,256
257,conv,2,2,11,y,16.65081000328064,41.775,2.2207488490740457,128
258,conv,2,2,13,y,16.88591456413269,17.715,2.2851278741518657,128
259,conv,2,2,10,y,20.962449073791504,73.86833333333334,1.4748408772468566,64
260,conv,2,3,13,y,22.278117895126343,68.62166666666667,1.8302935596466063,64
261,conv,2,4,14,y,17.58606743812561,16.871666666666666,2.2671287075360618,256
262,conv,2,3,16,y,24.150967597961426,27.678333333333335,2.2628943247795106,256
263,conv,2,2,16,y,76.56472539901733,85.49333333333334,0.533467280882597,32
264,conv,2,3,12,y,21.650573253631592,62.39,1.9863242336273192,64
265,conv,2,3,8,y,14.472214460372925,51.13333333333333,2.14713853114446,128
266,conv,2,3,6,y,22.324177980422974,83.395,0.6598672765334447,32
267,conv,2,3,12,y,93.10537552833557,89.74833333333333,0.34025321885148685,12
268,conv,2,3,16,y,29.976539134979248,38.053333333333335,2.2659915504773456,128
269,conv,2,4,7,y,13.515060663223267,49.38333333333333,2.177870116011302,128
270,conv,2,4,2,y,10.601826190948486,75.87166666666667,1.2302338336308798,64
271,conv,2,4,14,y,52.6943473815918,87.05166666666666,0.47188793728649614,32
272,conv,2,4,15,y,22.69700336456299,51.25333333333333,2.189091637833913,128
273,conv,2,2,14,y,28.036497592926025,68.06166666666667,1.906428265285492,64
274,conv,2,4,10,y,16.069600105285645,29.835,2.2589031710624696,128
275,conv,2,3,10,y,10.945873498916626,26.405,2.2775318066279095,256
276,conv,2,4,3,y,9.498321294784546,55.53333333333333,2.1687675789197285,128
277,conv,2,2,8,y,12.485851287841797,10.881666666666666,2.295478927866618,256
278,conv,2,2,10,y,15.90774130821228,44.86833333333333,2.2088883938471477,128
279,conv,2,2,15,y,18.920387268066406,37.97833333333333,2.231121624183655,128
280,conv,2,3,4,y,11.28717041015625,57.01,2.1039339665730794,64
281,conv,2,2,7,y,16.309120893478394,65.185,1.9039114148457845,64
282,conv,2,3,14,y,129.21769833564758,89.88666666666667,0.34010714264387887,12
283,conv,2,3,9,y,11.888548374176025,43.52333333333333,2.2303300183614096,128
284,conv,2,3,2,y,18.23927092552185,91.43666666666667,0.29205224505513905,12
285,conv,2,3,14,y,20.245402812957764,48.325,2.1621247944513957,128
286,conv,2,3,10,y,11.233013391494751,20.113333333333333,2.2785580524126687,256
287,conv,2,2,10,y,16.345974922180176,52.01833333333333,2.191251806163788,128
288,conv,2,3,8,y,22.46056890487671,73.08833333333334,1.7259281520525613,64
289,conv,2,4,3,y,9.04466199874878,24.736666666666668,2.2813520771980285,256
290,conv,2,4,15,y,168.8971767425537,90.64833333333333,0.31844792619658013,12
291,conv,2,2,8,y,16.68563747406006,65.05,1.9590480220794677,64
292,conv,2,2,3,y,14.186450958251953,20.32,2.278685439046224,256
293,conv,2,2,15,y,13.809238195419312,24.22,2.287934795443217,256
294,conv,2,2,14,y,44.49185395240784,79.98666666666666,0.82561229382356,32
295,conv,2,4,9,y,52.3106107711792,89.57,0.34114897108425696,12
296,conv,2,4,9,y,18.29737687110901,55.12,2.175065887673696,64
297,conv,2,2,8,y,13.551120042800903,41.85166666666667,2.2392069993019104,128
298,conv,2,2,4,y,15.267192363739014,71.62,1.5673814701080322,64
299,conv,2,4,11,y,70.73799872398376,90.95666666666666,0.3116797194759051,12
300,conv,2,4,7,y,9.373948335647583,31.406666666666666,2.2759852159182232,256
301,conv,2,3,12,y,11.362636089324951,21.398333333333333,2.2864647115707397,256
302,conv,2,4,13,y,46.836796283721924,86.17,0.4940355284223954,32
303,conv,2,3,10,y,18.09389591217041,72.08666666666667,1.5329537364006043,64
304,conv,2,3,11,y,33.3105845451355,84.265,0.5880560824175676,32
305,conv,2,4,4,y,31.004356622695923,90.59666666666666,0.3132673196616272,12
306,conv,2,3,13,y,12.868650197982788,16.633333333333333,2.2854418918927513,256
307,conv,2,2,13,y,13.399519681930542,13.993333333333334,2.2809808608055113,256
308,conv,2,3,7,y,14.09068250656128,67.56,2.009470784854889,64
309,conv,2,4,5,y,8.440757751464844,37.9,2.2398617837270103,256
310,conv,2,3,16,y,49.313101053237915,59.07666666666667,2.0828121624946596,64
311,conv,2,2,9,y,13.118321418762207,24.096666666666668,2.256909422334035,256
312,conv,2,2,3,y,17.153963804244995,85.40166666666667,0.5254929965337117,32
313,conv,2,4,14,y,144.38142228126526,90.54666666666667,0.3207246609954784,12
314,conv,2,3,3,y,12.977654933929443,82.215,0.6825172391414642,32
315,conv,2,2,8,y,28.71950054168701,86.01833333333333,0.5032782829364141,32
316,conv,2,4,11,y,70.45353484153748,89.81833333333333,0.34027796463121973,12
317,conv,2,4,2,y,14.471760749816895,90.62,0.31357169655114414,12
318,conv,2,3,6,y,10.415331602096558,41.9,2.2259776697158813,128
319,conv,2,2,9,y,20.999349117279053,73.48166666666667,1.4474410433769227,64
320,conv,2,3,4,y,26.968164205551147,89.66833333333334,0.33733560754011077,12
321,conv,2,4,8,y,14.693448305130005,37.946666666666665,2.2371803885142008,256
322,conv,2,4,2,y,11.706302404403687,85.32166666666667,0.5417842908163866,32
323,conv,2,4,8,y,47.51345634460449,60.32666666666667,2.071249419371287,64
324,conv,2,4,13,y,15.403984546661377,25.048333333333332,2.275031682459513,128
325,conv,2,2,12,y,16.57222056388855,48.00833333333333,2.206574091243744,128
326,conv,2,3,15,y,32.83279204368591,60.513333333333335,1.9660654609680175,64
327,conv,2,4,13,y,46.71472787857056,86.88166666666666,0.47444835650821526,32
328,conv,2,3,5,y,40.84270739555359,90.39666666666666,0.3226135668441653,12
329,conv,2,3,10,y,14.390124559402466,39.395,2.2551036197026573,128
330,conv,2,3,10,y,14.820584535598755,39.82666666666667,2.2494745569229124,128
